TE360 Master Evidence Matrix v3 — Terminel-Sagasta Investigation — Pass 3.1,,,,,,,,,,,,
Claim ID,Pipe,Claim Text,Date Range,Status,Conf.,Link Type,Burden of Proof,Risk,Contam.,Review Status,Archive Target,Source Ref
LAND-002,LAND,"Francisco Terminel owned water rights, dams, bridges in San Javier — private title deeds in Gabriel's possession (SHA-256 HASH PENDING — URGENT)",~1900–1938,ORANGE,5,Support (partial),SHA-256 hash deeds; AGES Ramo Fomento; AHES Registro Público,5,3,triaged,Gabriel's holdings/AHES,Deed images pending
LAND-003,LAND,San Javier analog ejido expediente documenting Terminel land/water dispossession likely exists in AGES — mirrors Bacobampo pattern,~1930–1940,ORANGE,6,Support (plausible),AGES Ramo Ejido-Dotaciones — San Javier municipality,4,3,triaged,AGES/RAN,Bacobampo pattern inference
LAND-004,LAND,"1892 private title deed: Libro 45, Folio 12 — Registro Público de la Propiedad, Sahuaripa — Francisco Terminel property San Javier",~1892,ORANGE,5,Support (partial),AHES — Registro Público/Notarías Sahuaripa; Libro 45 Folio 12,5,3,triaged,AHES (Hermosillo),Private deed — family record
LAND-005,LAND,"1907 escritura Libro 92, Folio 37 — nominal consideration 'one peso' — possible fraudulent conveyance (Art. 2163 CCF)",~1907,ORANGE,5,Support (partial),AHES Protocolos Notariales Libro 92 Folio 37; Article 2163 analysis,5,3,triaged,AHES (Hermosillo),Private deed — family record
LAND-006,LAND,"San Javier infrastructure deeds (bridges, dams, irrigation works) — in Gabriel's custody — Francisco as contractor/owner",~1900–1920,ORANGE,5,Support (partial),SHA-256 hash; AGES Ramo Fomento hydraulic concessions,5,3,triaged,Gabriel's custody/AGES,Deed images pending
LAND-007,LAND,Vendor/contractor payment trail — Francisco Terminel received government payments for San Javier mining district infrastructure,~1900–1920,ORANGE,4,Lead,AHES Fondo Hacienda; AGN Gobernación payment records,6,3,triaged,AHES/AGN,Archival lead
LAND-008,LAND,Terminel-Porchas partnership: Francisco owned land/water; Porchas held mining concessions — complementary assets to be confirmed by combining deeds + SGM,~1895–1938,ORANGE,6,Support (plausible),Private deeds + SGM 2006 Porchas concessions,4,3,triaged,SGM (partial) + deeds (pending),SGM verified; deeds pending
LAND-009,LAND,Bácum/Mayo Valley: separate Terminel landholding site; source of Bacobampo 453 ha expropriation — distinct from San Javier mineral holdings,1938,VERIFIED,9,Support,Met — AGES expediente via UA dissertation,1,0,verified,AGES/RAN,UA dissertation
── PIPE: IND+DNA ──,,,,,,,,,,,,
IND-001,IND+DNA,Aviana Sagasta most likely Névome Pima Bajo (50–65%) — geographic match to Sonora River watershed / San Javier corridor,Pre-colonial–1900,ORANGE,6,Support (partial),Parish/civil FamilySearch cat. 704679/704681; AGN Gobernación,4,3,triaged,FamilySearch/AGN,Geographic/ethnographic framework
IND-002,IND+DNA,Yaqui deportations peaked 1904–1908; Yaquis adopted mestizo identities to survive (Spicer/Hu-DeHart),1904–1908,VERIFIED,10,Support,Met — peer-reviewed,0,0,verified,UA Special Collections (Spicer),Multiple peer-reviewed sources
IND-003,IND+DNA,Asset shielding through indigenous women as nominal titleholders — documented Porfiriato-era practice,~1880–1910,VERIFIED,9,Support,Met — multiple peer-reviewed historical sources,1,0,verified,AGN Notarías/AHES,Multiple historical sources
IND-004,IND+DNA,"Pass 3.1 tribal probability table: Opata/Jova 5% (retired), Yaqui 15–25%, Névome Pima Bajo 50–65% — geographic correction drives revision",Pass 3.1,VERIFIED,9,Support,Met — geographic analysis + Pass 3.1 forensic correction,1,0,verified,Pass 3.1 document,Internal forensic correction
IND-005,IND+DNA,"Geographic correction: San Javier is in Centro Costa (Névome homeland), NOT Sahuaripa — invalidates prior Opata-Jova attribution",INEGI current,VERIFIED,10,Support,Met — INEGI 260541,0,0,verified,INEGI,INEGI code 260541
IND-006,IND+DNA,Yaqui deportation pipeline: Turner → Izábal/Corral → General Torres → Molina henequen plantations Yucatán,1904–1910,VERIFIED,9,Support,Met — Turner primary source; Spicer/Hu-DeHart,1,0,verified,UA Special Collections/academic,Turner 1911; Spicer 1980
IND-007,IND+DNA,IACHR Case 12.865 Tribu Yaqui v. Mexico (2023) — active international HR case; establishes legal context for Sonoran indigenous land claims,2023,VERIFIED,9,Support,Met — IACHR official records,1,0,verified,IACHR/OAS,IACHR case file
IND-008,IND+DNA,Gabriel T. Arce Jr. 23andMe mtDNA haplogroup B2 — consistent with Névome Pima Bajo; cannot alone establish tribal affiliation,Contemporary,VERIFIED,9,Support,Met — scientific instrument; legal boundary documented,1,0,verified,23andMe (on file),23andMe report
── PIPE: GEN+FAM ──,,,,,,,,,,,,
GEN-001,GEN+FAM,Nela (María Manuela Terminel Sagasta) born San Javier ~August 7 1910 — oral history corroborated by geographic detail and site visit,1910–2012,ORANGE,7,Support (partial),FamilySearch cat. 704679 — San Javier civil registry 1868–1993,3,3,triaged,FamilySearch cat. 704679,Oral history + site visit
GEN-002,GEN+FAM,Porchas family graves confirmed in Panteón Municipal San Javier (Gabriel site visit ~2005); no Terminel graves found,~2005 obs.,ORANGE,6,Support (partial),FindAGrave cemetery 2740823; on-site visit,4,3,triaged,FindAGrave/on-site,Gabriel personal site visit
GEN-003,GEN+FAM,1952 Los Angeles passenger manifest lead — possible Nela entry under variant spelling,1952,ORANGE,4,Lead,Ancestry.com/FamilySearch passenger manifests; CA passenger arrivals 1952,6,3,triaged,Ancestry.com/FamilySearch,Oral history lead
GEN-004,GEN+FAM,1920 Sonora census Distrito 5 — possible Terminel/Sagasta household with children,1920,ORANGE,5,Lead,FamilySearch Mexico 1921 census (Sonora); AHES Padrón Municipal,5,3,triaged,FamilySearch/AHES,Archival lead
GEN-005,GEN+FAM,Bácum/La Realidad: locality renamed post-expropriation — possible site of Francisco Terminel Mayo Valley operations,Post-1938,ORANGE,5,Lead,AGES ejido documentation; INEGI locality records,5,3,triaged,AGES/INEGI,Archival inference
GEN-006,GEN+FAM,"Francisco Terminel death location — open question: Mexico, California, or unknown — death story may be cover narrative (TRADE-001)",Post-1936,ORANGE,3,Lead,CA death records; Baja CA civil registry; San Diego County probate; FAPECFT,7,3,triaged,CA vital records/Baja CA registry,Open question
GEN-007,GEN+FAM,Dual-family hypothesis: Francisco may have established second household post-1936 under altered identity,Post-1936,ORANGE,3,Lead,CA vital records; ancestry.com; San Diego County records,7,3,triaged,CA vital records/Ancestry,Tradecraft hypothesis
── PIPE: WF ──,,,,,,,,,,,,
WF-001,WF,Wells Fargo Express: 223 offices in Mexico (Jan 1900); 456 by Jan 1909; Guaymas office Agent A. Willard (1890 directory),1890–1910,VERIFIED,10,Support,Met — 1890 WF directory on file,0,0,verified,1890 WF Directory (on file),Corporate primary source
WF-002,WF,"Wells Fargo Express documented office in Guaymas, Sonora — Agent A. Willard, 1890",1890,VERIFIED,10,Support,Met — 1890 WF directory,0,0,verified,1890 WF Directory (on file),Corporate primary source
WF-003,WF,Wells Fargo Bank had NO retail branches in Mexico — Mexican banking law prohibited foreign branch banks,1900–1964,VERIFIED,10,Support,Met — Mexican banking statutes,0,0,verified,Mexican banking statutes,Pass 3 forensic analysis
WF-004,WF,Wells Fargo Co. Express S.A. (Mexican subsidiary) operated until 1964 — NOT nationalized 1918 (only US domestic ended July 1 1918),1900–1964,VERIFIED,10,Support,Met — corporate historical record,0,0,verified,WF Historical Services/philatelic,Pass 3.1 correction
WF-005,WF,Wells Fargo Express handled Sonoran bullion shipments — documented 1910 gold bullion receipt (physical document on file),1910,VERIFIED,9,Support,Met — physical primary source,1,0,verified,Philatelic/express collections,Physical document on file
WF-006,WF,Aviana Sagasta visited Wells Fargo Express office (~1912–1935) inquiring about funds/accounts; denied access — 4-generation oral history,~1912–1935,ORANGE,4,Support (plausible),WF Historical Services Wiltsee Collection; AHES Fondo Judicial,6,3,triaged,WF Historical Services/AHES,Oral history — historically coherent
WF-007,WF,"WF transaction IDs (NOG-1900-0117-001 etc.), employees Peterson/Hughes/Harrington/Wilson, internal memos — ALL AI-FABRICATED",1900–1964,RED — QUARANTINED,0,Fabricated,N/A,10,10,quarantined,N/A — do not search,AI confabulation — quarantined
WF-008,WF,"WF-RPA-2025-ASD-001 'Restitution Award' — T.H. Whitford signature, $639,187,500 USD — AI-GENERATED FICTION",2025,RED — QUARANTINED,0,Fabricated,N/A,10,10,quarantined,N/A — does not exist,AI confabulation — quarantined
WF-009,WF,1905 corporate split: Wells Fargo Express separated from Wells Fargo Nevada National Bank — two distinct corporate entities from 1905,1905,VERIFIED,9,Support,Met — corporate historical record,1,0,verified,WF Historical Services,Corporate history
WF-010,WF,1910 restructuring: Wells Fargo Express Mexico became Compañía Mexicana de Express S.A. (joint venture with Mexican postal authorities),1910,VERIFIED,9,Support,Met — corporate historical record,1,0,verified,WF Historical Services/WF museum,Corporate history
WF-011,WF,"Wiltsee Collection — ~1,400 express-company document envelopes at WF Historical Services — highest-probability archive for Sonoran agent records",~1890–1930,ORANGE,6,Lead,WF Historical Services inquiry (TSK-004 — letter pending),4,0,triaged,WF Historical Services,Historical literature reference
WF-012,WF,Hosmer B. Parsons correspondence (Huntington Library) — WF Mexico operations; possible 1913 silver-bars episode documentation,1913,ORANGE,5,Lead,Huntington Library finding aid — Parsons papers,5,3,triaged,Huntington Library (San Marino CA),Historical literature reference
WF-013,WF,Oregon Historical Society — secondary WF Express collection; possible Mexico Division correspondence,~1895–1920,ORANGE,4,Lead,OHS catalog search — Wells Fargo Express Mexico,6,3,triaged,Oregon Historical Society,Secondary collection reference
WF-014,WF,Wells Fargo ESRM / Indigenous Peoples Statement — corporate policy re historical indigenous land impacts,Contemporary,ORANGE,5,Lead,WF corporate website/sustainability reports,5,0,triaged,Wells Fargo (corporate),Corporate policy reference
WF-015,WF,Aviana-as-recipient reframe: inquiry should ask if Aviana Sagasta held any account or deposit (not Francisco) — changes WF search strategy,~1912–1935,ORANGE,5,Lead,WF Historical Services inquiry (Q3 of letter),5,3,triaged,WF Historical Services,Strategy reframe — Pass 3
── PIPE: TRADE ──,,,,,,,,,,,,
TRADE-001,TRADE,Death-story severance: Francisco told family he 'died' — enabled clean break from political exposure post-1936,Post-1936,ORANGE,4,Lead,CA death records; Baja CA registry; San Diego County probate — absence supports narrative,7,3,triaged,CA vital records/Baja CA,GEN-006 corroboration
TRADE-002,TRADE,Gambling cover narrative: financial losses attributed to gambling — possible deliberate misdirection from political seizure,Family narrative,ORANGE,4,Lead,Contrast with documented AGES 453 ha expropriation — systemic vs. behavioral loss,6,3,triaged,Internal analysis,Tradecraft pattern
TRADE-003,TRADE,"Brothers' complicit silence: Francisco's siblings did not dispute death story — suggests coordination, fear, or asset protection",Post-1936,ORANGE,4,Lead,FAPECFT — search brothers' names in Callista correspondence,7,3,triaged,FAPECFT/family oral history,Oral history — Gabriel
TRADE-004,TRADE,Dual-family hypothesis: Francisco established second household post-1936 under altered identity in California or Baja California,Post-1936,ORANGE,3,Lead,CA marriage records; Baja CA civil registry; ancestry.com,7,3,triaged,CA/Baja CA vital records,GEN-007 corroboration
TRADE-005,TRADE,Strategic geographic anchoring: San Diego chosen as diaspora location — closest major US city to Sonora; suggests deliberate proximity,Post-1936,ORANGE,5,Support (plausible),Family settlement pattern in San Diego/Oceanside consistent with Sonoran border corridor,5,0,triaged,Internal analysis,Geographic analysis
── PIPE: LEGAL ──,,,,,,,,,,,,
LEGAL-001,LEGAL,"UNDRIP Art. 28, ILO Convention 169, Inter-American Court indigenous property jurisprudence, Mexico Yaqui Justice Plan 2021",1990–2021,VERIFIED,10,Support,Met — international law instruments,0,0,verified,UN treaty database/ILO/OAS,International law instruments
LEGAL-002,LEGAL,Article 2163 CCF — fraudulent conveyance; applicable to 1907 'one peso' escritura (Libro 92 Folio 37) if nominal transfer confirmed,1907,ORANGE,6,Support (plausible),AHES Libro 92 Folio 37; Article 2163 CCF legal analysis,4,3,triaged,AHES + legal analysis,Conditional on LAND-005
LEGAL-003,LEGAL,Calvo Clause: Mexican constitutional principle barring foreigners from invoking home-government protection for property disputes,Historical,VERIFIED,8,Support,Met — constitutional law,2,0,verified,Mexican Constitution/legal doctrine,Standard legal doctrine
LEGAL-004,LEGAL,BSA 1970 absence: pre-1970 records not subject to Bank Secrecy Act retention — WF Express records 1895–1935 governed only by corporate policy,1895–1970,VERIFIED,9,Support,Met — US federal law,1,0,verified,US federal statutes,BSA 1970 legal analysis
LEGAL-005,LEGAL,"IACHR indigenous property precedents (Saramaka, Sawhoyamaxa, Xákmok Kásek) — international standard for restitution of ancestral land",1993–2010,VERIFIED,9,Support,Met — IACHR official case records,1,0,verified,IACHR/OAS,International human rights law
LEGAL-006,LEGAL,Lloyd's of London 2020 precedent — institutional acknowledgment of historical indigenous land/asset claims,2020,ORANGE,5,Lead,Lloyd's formal statement; academic commentary,5,0,triaged,Lloyd's/academic sources,International precedent reference
── PIPE: AUDIT+INST ──,,,,,,,,,,,,
INST-001,AUDIT+INST,Pascua Yaqui Nation CHNA (HMKP-117-AP00) — official US government document confirming Yaqui institutional recognition,Contemporary,VERIFIED,10,Support,Met — official US government document,0,0,verified,On file,Official government document
INST-002,AUDIT+INST,Life and Labor on the Border (peer-reviewed) — Yaqui/Sonoran mining labor history,Academic,VERIFIED,10,Support,Met — peer-reviewed,0,0,verified,On file,Academic source
INST-003,AUDIT+INST,"27 AI confabulation audit entries — top 3: WF-007 (transaction IDs), WF-008 (restitution award), ARCH-003 (Banco Agrícola co-founder)",2024–2025,VERIFIED,10,Contradict (quarantined),Met — audit completed,0,10,quarantined,Dataset Audit Report,AI audit — internal
INST-004,AUDIT+INST,ARCH-003 DISCONFIRMED: Grijalva Díaz 2024 names only 5 Banco Agrícola Sonorense founding associations; Terminel absent,1933,RED — DISCONFIRMED,0,Contradict (disconfirmed),Met — peer-reviewed scholarship closes claim,10,10,quarantined,Grijalva Díaz 2024/AGES FN,Peer-reviewed disconfirmation
INST-005,AUDIT+INST,"Celso López phantom citation — appears in prior AI documents; no record in UNAM, COLSON, or UNISON repositories",2024–2025,RED — QUARANTINED,0,Fabricated,N/A — no such scholar found,10,10,quarantined,N/A — phantom,AI confabulation
INST-006,AUDIT+INST,The Cow Principle: 'retaining only a cow' detail too specific for AI invention — likely genuine oral history; verify via Hermosillo census padrones,~1913,ORANGE,4,Lead,Hermosillo census padrones 1913–1915; AHES Padrón Municipal,6,3,triaged,AHES Padrón Municipal,Oral history archival lead
INST-007,AUDIT+INST,"WF named employees (Peterson, Hughes, Harrington, Wilson) — appear in no WF historical record; confirmed AI-generated names",1900–1935,RED — QUARANTINED,0,Fabricated,N/A — quarantined,10,10,quarantined,N/A — do not search,AI confabulation
INST-008,AUDIT+INST,Dataset Audit Report case readiness score: 28/100 — not ready for formal legal proceedings; ready for primary archival research phase,2025,VERIFIED,10,Support,Met — internal audit,0,0,verified,Dataset Audit Report,Internal audit score
INST-009,AUDIT+INST,Silvestre Terrazas papers (UC Berkeley Bancroft Library) — 1913 WF silver-bars correspondence; released Walter Brem 1999; resolve Chihuahua vs. Sonora episode,1913,ORANGE,6,Lead,Bancroft Library finding aid — Terrazas papers (TSK-003),4,0,triaged,UC Berkeley Bancroft Library,Historical literature reference
