"The provided data represents the TE360 Master Research Database & Intelligence Registry, a comprehensive collection of sources and tasks related to the ""Terminel-Sagasta Investigation"" updated as of May 2026.
Key Takeaways

• Extensive Research Infrastructure: The Master Registry contains over 75 unique data sources spanning diverse categories such as the Mexican National Archives (AGN), US National Archives (NARA), mining and geospatial databases, and specialized academic repositories.
DOJ FOIA / Office of Information Policy,Government FOIA,https://www.justice.gov/oip,National.FOIAPortal@usdoj.gov,FREE ONLINE,TIER 2,POL · LEGAL,"441 G St, NW, Washington, DC 20530",DOJ FOIA records.
Biblioteca Cervantes Virtual,Hispanic Literature / History,https://www.cervantesvirtual.com,info@cervantesvirtual.com,FREE ONLINE,TIER 3,POL · LEGAL,—,Spanish-language historical texts; colonial and Republican Mexico
Mapoteca Manuel Orozco y Berra,Historic Land Maps,https://mapoteca.siap.gob.mx,mapoteca@siap.gob.mx,FREE ONLINE,TIER 2,GEO · LAND,—,Historic Sonora land maps; San Javier/Bacobampo area; Porfiriato cadastral records
Hemeroteca Nacional,Historic Mexican Newspapers,https://hndm.iib.unam.mx,hndm@unam.mx,FREE ONLINE,TIER 1,POL · LAND · AUDIT,—,Search: Terminel + Verminel; El Imparcial Hermosillo 1890-1935; desafuero coverage Dec 1935
California Digital Newspaper Collection,Historic Newspapers,https://cdnc.ucr.edu,—,FREE ONLINE,TIER 2,POL · WF · TRADE,—,California borderland press 1846-1922; Southern Pacific Railroad era; Nogales/Yuma coverage
Sistema Nacional de Fototecas INAH,Historic Photography,https://sinafo.inah.gob.mx,sinafo@inah.gob.mx,FREE ONLINE,TIER 3,IND · GEO,—,Porfirian-era photography; Sonora mining districts; indigenous documentation
Chronicling America,Historic US Newspapers,https://chroniclingamerica.loc.gov,ndnp@loc.gov,FREE ONLINE,TIER 2,POL · WF · TRADE,—,Digitized US newspapers 1770-1963; Arizona/California border press; WF Express mentions
World Digital Library,Historical Latin America,https://www.loc.gov/collections/world-digital-library/about-this-collection/,,,,,,
Macrotrends Silver Prices,Historical Silver Data,https://www.macrotrends.net/1333/historical-silver-prices,—,FREE ONLINE,TIER 2,TRADE · AUDIT,—,Silver price 1968-present + historical estimates. Use with FRED and Banco de Mexico for 1890-1940 pricing
JSTOR,Humanities / History Journals,https://www.jstor.org,support@jstor.org,LIBRARY CARD,TIER 2,POL · IND · TRADE · LEGAL,—,Hispanic American Historical Review; Latin American Research Review. Free via SDPL card. 100 articles/month free account
USCIS Genealogy,Immigration / Naturalization,https://www.uscis.gov/history-and-genealogy/genealogy,genealogy.uscis@uscis.dhs.gov,MAIL REQUEST,TIER 2,GEN · LEGAL,—,Naturalization records; Francisco/Nela migration 1935+
ICE FOIA,Immigration Enforcement,https://www.ice.gov/foia/library,ice-foia@dhs.gov,FREE ONLINE,TIER 3,GEN · LEGAL,—,Deportation records; modern immigration enforcement
AGN Migración Collections,Immigration files,https://www.gob.mx/agn,,,,,,
Archive of Native American Recorded History,Indigenous Oral History,https://www.nativeoralhistory.org/,—,FREE ONLINE,TIER 1,IND · GEN,—,Doris Duke Native American Oral History Collections. Yaqui oral history recordings and related materials.
INPI,Indigenous Peoples Institute,https://www.inpi.gob.mx,—,FREE ONLINE,TIER 1,IND · LAND · LEGAL,"Av. México-Coyoacán 343, Benito Juárez, CDMX","Bacobampo overlap with Plan de Justicia Yaqui 2,900-ha restitution zone; Aviana Sagasta ethnic documentation"
Smithsonian Indigenous Studies,Indigenous records,https://americanindian.si.edu/,,,,,,
Pascua Yaqui Tribe Cultural Resources,Indigenous Tribal Records,—,—,MAIL ONLY,TIER 1,IND · LAND,"7474 S. Camino de Oeste, Tucson AZ 85757 (PHYSICAL MAIL ONLY)",Oral history connection; Bacobampo/San Javier Yaqui territorial records; Plan de Justicia context. No email — physical mail only
IACHR / CIDH,Inter-American Human Rights,https://www.oas.org/es/cidh,cidhoea@oas.org,FREE ONLINE,TIER 1,LEGAL · IND,—,Petition 13.001: Tribu Yaqui v. Mexico friendly settlement 2023. Largest indigenous HR settlement in IACHR history. Directly relevant to case framing
Benson Latin American Collection (UT Austin),Latin American Archive,https://www.lib.utexas.edu/benson,benson@lib.utexas.edu,IN-PERSON · FREE,TIER 2,POL · IND · LAND,"University of Texas, Austin TX 78712",Sonora archives; Porfiriato collections; FRUS cross-reference
SciELO,Latin American Journals (Open),https://scielo.org,scielo@scielo.org,FREE ONLINE,TIER 1,POL · IND · TRADE · LEGAL,—,Frontera Norte: Torres-Izábal-Corral + Uruchurtu connection confirmed. Historia mexicana. Estudios sociales (Hermosillo). 180+ Mexican journals. ALREADY PRODUCING RESULTS
CLACSO,Latin American Social Sciences,https://clacso.org,clacso@clacso.org.ar,FREE ONLINE,TIER 2,IND · LEGAL · POL,—,Indigenous rights scholarship; land dispossession research; social theory
U.S. National Archives (Record Group 21),Legal / Bankruptcy,https://www.archives.gov/research/guide-fed-records/groups/021.html,,,,LEGAL,,Cross-border bankruptcy and lawsuits
Archivo General de la Nación (AGN) - Tribunal Superior de Justicia,Legal / Land / Mining,,,,,LEGAL · LAND · MIN,,"Lawsuits, legal filings"
Archivo Histórico del Estado de Sonora (AHES) - Ramo Judicial,Legal / Land / Mining,,,,,LEGAL · LAND · MIN,,"Lawsuits, legal filings"
LBMA,London Bullion Market,https://www.lbma.org.uk,mail@lbma.org.uk,FREE ONLINE,TIER 2,TRADE · AUDIT,—,Historical silver/gold pricing; Porfiriato-era bullion market data. CRITICAL for economic quantification of Francisco's shipments
Newspapers.com,Massive US archive,https://www.newspapers.com/,,,,,,
Archivo Histórico de la Secretaría de Salud (Sonora),Medical / Hospital,,,,,MED,,Sonora hospital records
PubMed API,Medical research,https://pubmed.ncbi.nlm.nih.gov/help/,,,,,,
Banco de México,Mexican Central Bank,https://www.banxico.org.mx,sieaplicaciones@banxico.org.mx,FREE ONLINE,TIER 1,TRADE · AUDIT,"Avenida 5 de Mayo 2, CDMX",Historical silver/peso data; 1935 silver crisis; 1938 peso devaluation documented. Confirmed 39% devaluation at Bacobampo expropriation date
SRE Historical Archives,Mexican Foreign Affairs,https://www.gob.mx/sre,—,MAIL REQUEST,TIER 3,POL · GEN,"Tlatelolco, CDMX",Foreign affairs records; Francisco Terminel's post-desafuero movements to US
SGM,Mexican Geological Service,https://www.sgm.gob.mx,sgm@sgm.gob.mx,FREE ONLINE,TIER 1,GEO · MIN,—,2006 Sonora mineral inventory confirms San Javier/Río Pascal silver deposits; free PDF download
Bolsa Mexicana de Valores,Mexican markets,https://www.bmv.com.mx/,,,,,,
Instituto de Geología UNAM,Mexican Mining Archives,https://www.geologia.unam.mx,igl@geologia.unam.mx,FREE ONLINE,TIER 2,GEO · MIN,—,Geological studies of Sonoran silver districts; San Javier/Magdalena mining history
AGN México,Mexican National Archives,https://www.gob.mx/agn,direcciongeneral@agn.gob.mx,FREE ONLINE,TIER 1,POL · LEGAL · LAND,"Eduardo Molina y Albañiles s/n, CDMX",Francisco desafuero Dec 14 1935; congressional records; Porfiriato land grants
Redalyc,Mexican Scholarly Database,https://www.redalyc.org,redalyc@redalyc.org,FREE ONLINE,TIER 1,POL · IND · TRADE,—,Different journals from SciELO. Colegio de Sonora publications. Key Porfiriato/Sonora scholarship not indexed elsewhere
INEGI,Mexico Census / GIS,https://www.inegi.org.mx,atencion.usuarios@inegi.org.mx,FREE API,TIER 2,GEO · LAND · AUDIT,"Av. Héroe de Nacozari 2301, Aguascalientes",Census data; Sonora geospatial; demographic history
Library of Congress Hispanic Reading Room,Mexico diplomatic collections,,,,,,,
INFOMEX / Plataforma Nacional de Transparencia,Mexico FOIA,https://www.plataformadetransparencia.org.mx,—,FREE ONLINE,TIER 2,LEGAL · AUDIT,—,FOIA requests for government records; mining concession files; land registry
INEGI Geospatial Services,Mexico GIS,https://www.inegi.org.mx/temas/geo,atencion.usuarios@inegi.org.mx,FREE API,TIER 2,GEO · LAND,—,Mexican cadastral maps; Sonora land boundaries; historical maps integration
Datos Abiertos México,Mexico Master Open Data,https://datos.gob.mx,datos@presidencia.gob.mx,FREE ONLINE,TIER 3,AUDIT,—,"Master portal; links to INEGI, SAT, CNBV"
Instituto Nacional de Migración,Mexico Migration Records,https://www.gob.mx/inm,—,PARTIAL OPEN,TIER 3,GEN,—,Migration files; Francisco's 1935 border crossing records
Biblioteca Nacional de México,Mexico National Library,https://bnm.unam.mx,bnm@unam.mx,FREE ONLINE,TIER 2,POL · LEGAL,—,Mexico's Library of Congress equivalent; Porfiriato pamphlets; congressional records
Fold3,Military + immigration,https://www.fold3.com/,,,,,,
Archivo Histórico de la SEDENA,Military Records,https://www.gob.mx/sedena,N/A,IN-PERSON,TIER 1,POL,Mexico City,Mexican military activities in Sonora during 1880 to 1940.
AHES - Sonora Military Records,Military Records,https://isc.sonora.edu.mx/ahes.html,N/A,MAIL REQUEST,TIER 1,POL,"Garmendia 157 Sur, Hermosillo Sonora",Mexican military activities in Sonora during 1880 to 1940.
National Personnel Records Center,Military Service Records,https://www.archives.gov/st-louis,mprsinfo@nara.gov,MAIL REQUEST,BACKGROUND,GEN,"9700 Page Avenue, St. Louis MO 63132",Military service records; limited relevance unless Francisco had US military exposure
Mining Data Online,Mine ownership/history,https://miningdataonline.com/,,,,,,
USGS,Mining / Geospatial,https://www.usgs.gov,ask@usgs.gov,FREE ONLINE,TIER 2,GEO · MIN,—,Historical mining output; geological surveys; Sonora mineral maps
USGS Mineral Resources,Mining output,https://www.usgs.gov/centers/national-minerals-information-center,,,,,,
Consular Reports (19th–20th c.),"Mining, violence, trade",,,,,,,
Smithsonian Open Access,Museum / Media,https://www.si.edu/openaccess,openaccess@si.edu,FREE ONLINE,BACKGROUND,IND · GEN,—,Historical photography; indigenous collections
SEGOB Migration Bulletins Monitor,MX-GOV,http://www.politicamigratoria.gob.mx/es/PoliticaMigratoria/Boletines_Estadisticos,,FREE ONLINE,HIGH,,,
Deportation Data Project Monitor,MX-GOV,https://deportationdata.org/data.html,,FREE ONLINE,CRITICAL,,,
COLEF EMIF Publications Monitor,MX-GOV,https://www.colef.mx/emif/,,FREE ONLINE,HIGH,,,
Plataforma Nacional de Transparencia Response Tracker,MX-GOV,https://www.plataformadetransparencia.org.mx/,,FREE ONLINE,CRITICAL,,,
Comision Nacional de Busqueda Updates,MX-GOV,https://www.gob.mx/cnb,,FREE ONLINE,MEDIUM,,,
Baja California Sex Offender Registry Monitor,MX-REG,https://www.bajacalifornia.gob.mx/registroagresoressexuales,,FREE ONLINE,HIGH - SAFETY,,,
UNHCR Mexico Shelter Directory Updates,MX-SHELT,https://help.unhcr.org/mexico/en/where-to-seek-help/albergues/,,FREE ONLINE,MEDIUM,,,
BBVA Shelter Map/Database Sync,MX-SHELT,https://www.bbvaresearch.com/en/publicaciones/map-2020-of-migrant-houses-shelters-and-soup-kitchens-for-migrants-in-mexico/,,FREE ONLINE,MEDIUM,,,
UNAM SUDIMER Publications Monitor,MX-UNI,https://www.juridicas.unam.mx/en/generador/detalle/109,,FREE ONLINE,MEDIUM,,,
UABC Repositorio Migration Research,MX-UNI,https://repositorioinstitucional.uabc.mx/,,FREE ONLINE,LOW,,,
COLEF Frontera Norte Journal Monitor,MX-UNI,https://fronteranorte.colef.mx/,,FREE ONLINE,LOW,,,
University of Arizona Historic Mexican and Mexican American Press,Newspapers,https://lib.arizona.edu/find/all/historical-newspapers,,FREE ONLINE,,NEWS,,Historical US-Mexico newspapers
East View Independent and Revolutionary Mexican Newspapers,Newspapers,https://www.eastview.com/resources/gpa/crl-irmn/,,ONLINE,,NEWS,,Historical Mexican newspapers
Chronicling America (Library of Congress),Newspapers,https://chroniclingamerica.loc.gov/,,FREE ONLINE,,NEWS,,Historical US newspapers
Archivo General de Notarías (Hermosillo),Notarial Archive,—,—,MAIL REQUEST,TIER 1,LAND · LEGAL,"Centro de Gobierno, Hermosillo · Dra. Aragón Salcido (662) 217-0314",Power-of-attorney Doc B (TSK-003); Francisco name in notarial register; concubinage arrangement documentation
Archivo General de Notarías,Notarial Archive,—,—,MAIL REQUEST,TIER 1,LEGAL,"Centro de Gobierno, Hermosillo",Records on Aviana Sagasta.
DOAJ,Open Access Journals,https://doaj.org,feedback@doaj.org,FREE ONLINE,TIER 3,AUDIT,—,Directory of open-access journals; find relevant titles
Internet Archive,Open Digital Library,https://archive.org,info@archive.org,FREE ONLINE,TIER 1,TRADE · LEGAL · IND,—,McCaleb (1920) full text FREE; Turner Barbarous Mexico (1910); Porfiriato-era public domain books
OpenStreetMap,Open Mapping,https://www.openstreetmap.org,—,FREE API,TIER 3,GEO,—,Base mapping for Terminel-Sagasta geographic reconstruction
CORE,Open-access papers,https://core.ac.uk/services/api,,,,,,
Ancestry Immigration Collections,Paid but massive,https://www.ancestry.com/,,,,,,
OpenSecrets,Political finance,,,API,,,,
Castle Garden,Pre-Ellis immigration,,,,,,,
Huntington Library,Private Research Library,https://www.huntington.org,readingrooms@huntington.org,IN-PERSON · FREE,TIER 1,WF · TRADE · MIN,"1151 Oxford Rd, San Marino CA 91108 · (626) 405-2191","Box 34: ""Investments in Mexico"" — WF Express silver-shipment ledgers 1880-1920. 45 min from San Diego. PRIORITY VISIT"
"Tuolumne County Public Records (Sonora, CA)",Public Records,https://www.tuolumnecounty.ca.gov/214/Recorder-Home-Page,tskelly@sonoraca.com,IN-PERSON / MAIL REQUEST,TIER 2,GEN · LEGAL,"2 S. Green Street, Third Floor, Sonora, CA 95370","Vital records, property records for Sonora, CA"
Harvard Latin American Pamphlet Collection,Rare Porfiriato Texts,https://library.harvard.edu/collections,hollis@harvard.edu,FREE ONLINE,TIER 3,POL · LEGAL,—,Porfirian politics; rare pamphlets; public domain materials
San Diego History Center,Regional History Archive,https://sandiegohistory.org/,—,IN-PERSON / MAIL REQUEST,TIER 1,POL · GEN,—,—
Bancroft Library (UC Berkeley),Research Library,https://bancroft.berkeley.edu,bancref@library.berkeley.edu,IN-PERSON · FREE,TIER 2,TRADE · MIN · POL,"University of California, Berkeley CA 94720 · (510) 642-6481",Villa 122 silver bars April 1913; Mexican Revolution collections; borderland records
USGS Earth Explorer,Satellite / Historical Imagery,https://earthexplorer.usgs.gov,earthexplorer@usgs.gov,FREE ONLINE,TIER 3,GEO · LAND,—,Historical satellite imagery; land change analysis; Bacobampo/Yaqui River watershed
OpenAlex,Scholarly Graph API,https://openalex.org,support@openalex.org,FREE API,TIER 2,AUDIT,—,"Citation graph expansion; find who cites Gerber & Passananti, Hu-DeHart, Spicer"
Portal de Revistas UNAM,Scholarly journals,https://www.revistas.unam.mx/,,,,,,
